Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,28.16,81.33,2.54,17.36,19.90,17.41,11.14,1.47,20.96,1.22,2.71,NA,NA,0.71,0.30,NA,91.00,1.45,173.80,NA,NA,NA,1011.75,-0.50
2024-01-01 01:00:00,26.44,74.32,4.26,21.18,25.44,18.32,11.09,1.41,19.48,0.54,0.88,NA,NA,1.44,0.64,NA,91.83,1.14,38.93,NA,NA,NA,1011.28,-0.50
2024-01-01 02:00:00,26.30,78.33,11.36,34.60,45.95,21.30,11.06,1.49,18.72,0.63,2.56,NA,NA,0.96,0.09,NA,91.77,1.09,48.76,NA,NA,NA,1010.85,-0.50
2024-01-01 03:00:00,26.96,101.35,14.90,37.80,52.70,22.16,11.10,1.36,18.97,1.36,1.58,NA,NA,0.77,0.69,NA,91.82,1.17,59.39,NA,NA,NA,1010.55,-0.50
2024-01-01 04:00:00,26.80,117.74,11.41,34.30,45.71,20.46,11.05,1.33,18.86,0.29,1.34,NA,NA,0.53,0.19,NA,91.88,1.60,83.93,NA,NA,NA,1010.65,-0.50
2024-01-01 05:00:00,27.30,112.50,7.67,28.58,36.26,18.94,10.89,1.32,19.13,1.27,1.56,NA,NA,0.43,0.74,NA,91.92,1.37,64.10,NA,NA,NA,1011.25,-0.50
2024-01-01 06:00:00,32.93,119.02,7.08,30.46,37.54,17.59,10.89,1.39,19.74,0.84,2.59,NA,NA,1.19,0.64,NA,91.97,1.29,62.37,NA,NA,7.18,1011.80,-0.50
2024-01-01 07:00:00,30.49,109.78,4.05,30.20,34.25,17.74,11.17,0.72,20.70,1.06,3.90,NA,NA,1.83,0.65,NA,89.12,1.28,72.42,NA,NA,40.89,1012.55,-0.50
2024-01-01 08:00:00,29.89,107.45,3.08,37.23,40.32,17.94,11.11,0.76,22.98,2.05,1.64,NA,NA,0.82,0.66,NA,75.10,0.99,57.95,NA,NA,95.42,1013.38,-0.50
2024-01-01 09:00:00,30.95,116.87,1.89,31.75,33.64,17.45,11.05,0.48,25.24,0.29,1.25,NA,NA,0.92,0.60,NA,67.32,0.88,48.01,NA,NA,227.68,1013.62,-0.49
2024-01-01 10:00:00,33.67,117.40,1.26,25.26,26.52,16.64,11.04,0.44,27.48,0.74,0.74,NA,NA,1.95,0.34,NA,62.28,1.07,73.18,NA,NA,419.66,1013.42,-0.49
2024-01-01 11:00:00,38.10,110.14,0.94,18.48,19.42,15.56,11.16,0.59,27.29,0.74,2.65,NA,NA,1.33,0.96,NA,61.55,1.01,101.88,NA,NA,295.04,1012.72,-0.49
2024-01-01 12:00:00,35.80,120.02,1.07,16.80,17.87,16.13,11.09,0.70,27.34,0.36,2.27,NA,NA,0.79,0.84,NA,59.08,1.32,109.06,NA,NA,462.56,1011.75,-0.49
2024-01-01 13:00:00,36.15,115.68,1.01,13.64,14.64,16.50,11.14,1.07,27.96,1.04,1.67,NA,NA,0.43,0.38,NA,57.76,1.36,102.91,NA,NA,455.80,1010.82,-0.49
2024-01-01 14:00:00,36.10,102.17,1.22,14.10,15.32,16.67,11.24,1.02,27.92,1.34,0.40,NA,NA,0.51,0.48,NA,57.93,1.34,104.05,NA,NA,378.20,1010.12,-0.49
2024-01-01 15:00:00,34.80,109.42,1.18,12.29,13.48,17.07,10.93,0.71,29.42,0.68,2.26,NA,NA,1.02,0.52,NA,62.71,1.51,106.42,NA,NA,199.86,1009.60,-0.49
2024-01-01 16:00:00,30.42,109.77,1.32,10.16,11.48,17.17,11.15,1.54,27.82,1.05,1.82,NA,NA,1.27,0.52,NA,62.10,1.64,108.11,NA,NA,86.35,1009.58,-0.49
2024-01-01 17:00:00,25.80,97.47,1.97,13.84,15.80,18.72,11.05,2.00,30.12,0.88,0.68,NA,NA,0.56,0.18,NA,66.04,1.57,97.75,NA,NA,16.76,1010.10,-0.50
2024-01-01 18:00:00,25.56,88.23,3.92,26.22,30.31,19.81,11.07,2.19,26.84,0.79,2.45,NA,NA,1.14,1.21,NA,69.85,1.78,98.02,NA,NA,NA,1010.83,-0.50
2024-01-01 19:00:00,27.74,86.65,2.21,30.75,32.96,21.76,10.90,0.60,25.08,0.79,0.82,NA,NA,1.01,0.24,NA,73.88,1.75,97.43,NA,NA,NA,1011.85,-0.50
2024-01-01 20:00:00,29.53,90.05,1.96,26.88,28.85,20.71,11.14,0.47,25.28,0.62,0.83,NA,NA,1.76,0.16,NA,74.86,1.79,93.22,NA,NA,NA,1012.62,-0.50
2024-01-01 21:00:00,28.42,78.13,1.59,22.09,23.68,20.02,11.24,0.39,23.75,0.70,0.85,NA,NA,0.41,0.52,NA,75.50,1.80,96.58,NA,NA,NA,1012.95,-0.50
2024-01-01 22:00:00,30.06,77.57,1.46,18.73,20.20,19.93,10.96,0.22,24.48,1.04,2.66,NA,NA,0.74,0.20,NA,75.83,1.73,99.24,NA,NA,NA,1012.42,-0.50
2024-01-01 23:00:00,27.79,77.30,1.14,12.08,13.22,19.28,11.07,0.35,25.05,0.87,0.83,NA,NA,0.16,0.63,NA,78.02,1.78,91.22,NA,NA,NA,1012.07,-0.50
2024-01-02 00:00:00,23.85,78.02,0.98,9.51,10.49,19.20,11.16,0.30,24.76,0.63,2.33,NA,NA,0.82,0.22,NA,84.64,1.52,72.34,NA,NA,NA,1011.42,-0.50
