Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,46.62,NA,14.45,5.28,19.72,48.32,7.10,0.70,NA,0.73,NA,NA,0.36,NA,NA,NA,70.43,1.07,308.21,NA,NA,239.00,NA,NA
2021-01-01 01:00:00,46.61,NA,7.61,5.29,12.89,40.20,7.13,0.68,NA,0.80,NA,NA,0.12,NA,NA,NA,70.29,1.02,309.02,NA,NA,239.00,NA,NA
2021-01-01 02:00:00,45.99,NA,10.92,6.11,17.02,43.78,6.80,0.66,NA,0.90,NA,NA,0.09,NA,NA,NA,70.49,0.88,311.09,NA,NA,239.00,NA,NA
2021-01-01 03:00:00,45.32,NA,9.07,4.29,13.36,42.08,6.77,0.69,NA,0.82,NA,NA,0.07,NA,NA,NA,72.69,0.84,294.52,NA,NA,239.00,NA,NA
2021-01-01 04:00:00,44.47,NA,10.20,5.96,16.17,41.94,7.00,0.75,NA,1.78,NA,NA,0.58,NA,NA,NA,78.67,0.78,271.85,NA,NA,239.00,NA,NA
2021-01-01 05:00:00,44.33,NA,8.44,4.19,12.63,41.52,7.10,0.85,NA,2.14,NA,NA,0.76,NA,NA,NA,82.90,0.78,273.66,NA,NA,239.00,NA,NA
2021-01-01 06:00:00,45.72,NA,9.80,5.32,15.12,42.95,7.39,1.04,NA,3.98,NA,NA,0.71,NA,NA,NA,84.59,0.66,272.21,NA,NA,241.08,988.75,NA
2021-01-01 07:00:00,98.10,NA,17.86,8.57,26.43,52.89,7.86,1.14,NA,6.32,NA,NA,1.09,NA,NA,NA,82.36,0.80,275.93,NA,NA,253.72,NA,NA
2021-01-01 08:00:00,111.57,NA,17.25,8.95,26.20,52.92,8.32,0.89,NA,8.15,NA,NA,1.16,NA,NA,NA,78.80,1.07,280.64,NA,NA,255.80,999.10,NA
2021-01-01 09:00:00,59.52,NA,13.62,7.20,20.82,49.08,8.41,0.60,NA,2.45,NA,NA,0.36,NA,NA,NA,65.81,1.79,307.97,NA,NA,334.05,NA,NA
2021-01-01 10:00:00,39.47,NA,6.23,7.68,13.88,40.60,9.67,0.55,NA,3.00,NA,NA,0.30,NA,NA,NA,65.53,1.68,314.60,NA,NA,319.45,NA,NA
2021-01-01 11:00:00,25.42,NA,6.13,7.43,13.49,39.52,8.62,0.52,NA,1.28,NA,NA,0.11,NA,NA,NA,63.16,1.82,310.98,NA,NA,363.15,NA,NA
2021-01-01 12:00:00,24.51,NA,4.77,6.91,11.00,37.25,8.13,0.52,NA,3.09,NA,NA,0.26,NA,NA,NA,64.52,1.80,319.59,NA,NA,407.10,NA,NA
2021-01-01 13:00:00,24.49,NA,5.89,6.00,11.75,39.42,7.92,0.57,NA,3.50,NA,NA,0.22,NA,NA,NA,63.12,1.81,317.22,NA,NA,422.32,NA,NA
2021-01-01 14:00:00,28.34,NA,3.73,7.28,10.93,38.22,7.54,0.61,NA,1.36,NA,NA,0.16,NA,NA,NA,60.87,1.99,305.24,NA,NA,362.72,NA,NA
2021-01-01 15:00:00,30.13,NA,7.14,6.46,13.60,40.86,9.76,0.65,NA,0.72,NA,NA,0.06,NA,NA,NA,62.81,1.82,307.41,NA,NA,292.30,NA,NA
2021-01-01 16:00:00,32.03,NA,8.47,6.04,14.50,42.05,10.07,0.71,NA,0.98,NA,NA,0.09,NA,NA,NA,67.59,1.70,303.88,NA,NA,258.77,NA,NA
2021-01-01 17:00:00,37.27,NA,14.26,7.12,21.38,47.20,10.08,0.69,NA,1.06,NA,NA,0.20,NA,NA,NA,70.23,1.63,306.83,NA,NA,242.85,NA,NA
2021-01-01 18:00:00,37.58,NA,3.50,6.19,8.82,33.35,7.83,0.67,NA,1.02,NA,NA,0.17,NA,NA,NA,73.30,1.35,310.87,NA,NA,239.00,NA,NA
2021-01-01 19:00:00,32.90,NA,3.77,8.21,5.40,35.24,7.33,0.69,NA,1.02,NA,NA,0.11,NA,NA,NA,73.77,1.60,307.98,NA,NA,239.05,NA,NA
2021-01-01 20:00:00,31.14,NA,0.07,1.94,0.12,5.34,NA,NA,NA,0.05,NA,NA,0.01,NA,NA,NA,75.83,1.49,310.26,NA,NA,239.00,NA,NA
2021-01-01 21:00:00,33.57,NA,6.07,6.64,12.56,38.56,NA,NA,NA,1.02,NA,NA,0.11,NA,NA,NA,74.26,1.57,307.56,NA,NA,239.00,NA,NA
2021-01-01 22:00:00,32.75,NA,10.18,6.20,16.38,43.13,NA,NA,NA,0.81,NA,NA,0.09,NA,NA,NA,74.63,1.51,307.84,NA,NA,239.00,NA,NA
2021-01-01 23:00:00,32.47,NA,9.38,6.02,15.39,41.94,NA,NA,NA,0.86,NA,NA,0.14,NA,NA,NA,76.39,1.23,308.84,NA,NA,239.00,NA,NA
2021-01-02 00:00:00,38.48,NA,10.84,5.48,16.32,44.58,NA,NA,NA,1.61,NA,NA,0.30,NA,NA,NA,77.27,1.27,300.77,NA,NA,239.00,NA,NA
2021-01-02 01:00:00,40.63,NA,11.25,7.54,18.78,43.51,NA,NA,NA,0.82,NA,NA,0.07,NA,NA,NA,77.23,1.51,309.02,NA,NA,239.00,NA,NA
2021-01-02 02:00:00,40.70,NA,8.75,6.22,14.97,41.23,NA,NA,NA,0.86,NA,NA,0.07,NA,NA,NA,76.19,1.66,307.27,NA,NA,238.95,NA,NA
2021-01-02 03:00:00,40.17,NA,9.69,5.60,15.30,42.40,NA,NA,NA,0.92,NA,NA,0.06,NA,NA,NA,76.86,1.25,309.37,NA,NA,239.00,NA,NA
2021-01-02 04:00:00,41.47,NA,10.82,5.06,15.88,41.78,NA,NA,NA,1.67,NA,NA,0.24,NA,NA,NA,82.85,0.63,271.50,NA,NA,239.05,987.20,NA
2021-01-02 05:00:00,43.16,NA,9.66,6.01,15.67,41.95,NA,NA,NA,2.41,NA,NA,0.30,NA,NA,NA,90.53,0.72,274.14,NA,NA,239.02,999.50,NA
2021-01-02 06:00:00,42.88,NA,8.51,5.92,14.44,41.18,NA,NA,NA,2.74,NA,NA,0.29,NA,NA,NA,92.31,0.75,277.84,NA,NA,239.32,NA,NA
2021-01-02 07:00:00,49.15,NA,16.51,7.43,23.94,50.94,NA,NA,NA,3.31,NA,NA,0.42,NA,NA,NA,92.34,0.88,284.56,NA,NA,245.02,NA,NA
2021-01-02 08:00:00,55.70,NA,16.22,8.20,24.42,50.80,NA,NA,NA,2.81,NA,NA,0.47,NA,NA,NA,92.03,0.88,278.70,NA,NA,245.62,NA,NA
2021-01-02 09:00:00,48.20,NA,7.98,5.98,13.96,42.81,NA,NA,NA,3.53,NA,NA,0.59,NA,NA,NA,91.39,1.40,277.86,NA,NA,257.85,NA,NA
2021-01-02 10:00:00,42.37,NA,8.12,6.75,14.87,42.23,NA,NA,NA,3.45,NA,NA,0.25,NA,NA,NA,95.13,1.16,285.58,NA,NA,247.98,NA,NA
2021-01-02 11:00:00,39.26,NA,NA,0.20,0.00,NA,NA,NA,NA,0.47,NA,NA,0.11,NA,NA,NA,99.90,0.81,277.11,NA,NA,259.25,NA,NA
2021-01-02 12:00:00,39.68,NA,1.82,7.19,5.24,21.70,NA,NA,NA,4.16,NA,NA,0.77,NA,NA,NA,98.61,1.45,293.09,NA,NA,264.73,NA,NA
2021-01-02 13:00:00,40.33,NA,7.26,7.86,13.48,38.34,NA,NA,NA,2.48,NA,NA,0.46,NA,NA,NA,96.58,1.65,282.83,NA,NA,278.65,NA,NA
2021-01-02 14:00:00,39.81,NA,12.59,8.22,20.81,47.24,NA,NA,NA,1.86,NA,NA,1.08,NA,NA,NA,94.45,1.00,292.58,NA,NA,275.62,NA,NA
2021-01-02 15:00:00,37.70,NA,7.78,7.56,15.34,39.95,NA,NA,NA,2.07,NA,NA,0.62,NA,NA,NA,86.88,1.55,297.95,NA,NA,281.77,NA,NA
2021-01-02 16:00:00,36.17,NA,9.32,8.32,17.63,46.68,NA,NA,NA,1.76,NA,NA,0.62,NA,NA,NA,86.80,1.32,306.70,NA,NA,254.85,NA,NA
2021-01-02 17:00:00,37.66,NA,9.44,7.74,17.18,45.75,NA,NA,NA,1.32,NA,NA,0.26,NA,NA,NA,92.51,1.25,306.36,NA,NA,246.80,NA,NA
2021-01-02 18:00:00,37.75,NA,5.13,5.81,10.82,37.57,NA,NA,NA,1.08,NA,NA,0.22,NA,NA,NA,87.93,1.54,305.64,NA,NA,243.70,NA,NA
2021-01-02 19:00:00,35.12,NA,2.88,6.73,9.60,35.01,NA,NA,NA,1.02,NA,NA,0.16,NA,NA,NA,87.22,1.25,309.37,NA,NA,243.50,NA,NA
2021-01-02 20:00:00,35.67,NA,9.35,6.92,16.27,42.90,NA,NA,NA,0.94,NA,NA,0.18,NA,NA,NA,85.34,1.42,309.52,NA,NA,243.28,NA,NA
2021-01-02 21:00:00,37.09,NA,11.61,5.66,17.26,43.80,NA,NA,NA,0.86,NA,NA,0.15,NA,NA,NA,84.20,1.56,309.06,NA,NA,243.00,NA,NA
2021-01-02 22:00:00,36.99,NA,8.83,6.60,15.43,41.54,NA,NA,NA,1.01,NA,NA,0.25,NA,NA,NA,84.70,1.59,309.95,NA,NA,243.00,NA,NA
2021-01-02 23:00:00,37.11,NA,11.84,5.47,17.30,45.91,NA,NA,NA,1.35,NA,NA,0.26,NA,NA,NA,85.98,1.34,309.11,NA,NA,243.00,NA,NA
2021-01-03 00:00:00,36.89,NA,8.54,5.83,14.37,37.86,NA,NA,NA,0.89,NA,NA,0.14,NA,NA,NA,85.66,1.80,308.25,NA,NA,243.00,NA,NA
2021-01-03 01:00:00,36.64,NA,10.55,7.31,17.86,43.82,NA,NA,NA,0.93,NA,NA,0.13,NA,NA,NA,86.56,1.38,307.61,NA,NA,242.95,NA,NA
2021-01-03 02:00:00,36.27,NA,9.95,5.14,15.10,43.14,NA,NA,NA,0.89,NA,NA,0.11,NA,NA,NA,87.69,1.23,304.76,NA,NA,242.82,NA,NA
2021-01-03 03:00:00,37.04,NA,8.54,6.25,14.79,40.64,NA,NA,NA,1.69,NA,NA,0.12,NA,NA,NA,90.75,1.63,279.79,NA,NA,242.65,NA,NA
2021-01-03 04:00:00,36.12,NA,10.06,4.29,14.34,42.72,NA,NA,NA,1.82,NA,NA,0.35,NA,NA,NA,89.12,1.27,293.92,NA,NA,242.50,NA,NA
2021-01-03 05:00:00,36.05,NA,8.10,6.00,14.10,41.62,NA,NA,NA,2.96,NA,NA,0.55,NA,NA,NA,87.80,1.42,292.98,NA,NA,242.48,NA,NA
2021-01-03 06:00:00,34.20,NA,9.16,4.85,14.02,43.39,NA,NA,NA,2.32,NA,NA,0.40,NA,NA,NA,87.81,1.10,303.56,NA,NA,242.58,NA,NA
2021-01-03 07:00:00,38.17,NA,10.88,4.33,15.21,42.60,NA,NA,NA,3.07,NA,NA,0.58,NA,NA,NA,91.67,0.81,280.27,NA,NA,251.60,NA,NA
2021-01-03 08:00:00,42.98,NA,10.33,3.64,13.96,41.69,NA,NA,NA,4.87,NA,NA,0.93,NA,NA,NA,94.29,0.88,275.24,NA,NA,261.42,NA,NA
2021-01-03 09:00:00,41.25,NA,10.93,3.68,14.61,42.35,NA,NA,NA,8.57,NA,NA,1.23,NA,NA,NA,90.74,1.24,291.28,NA,NA,263.80,NA,NA
2021-01-03 10:00:00,40.41,NA,11.40,3.82,15.23,42.67,NA,NA,NA,1.32,NA,NA,0.28,NA,NA,NA,85.04,1.59,304.48,NA,NA,289.48,NA,NA
2021-01-03 11:00:00,36.32,NA,11.14,3.65,14.79,42.87,NA,NA,NA,0.80,NA,NA,0.08,NA,NA,NA,82.48,1.67,309.50,NA,NA,331.85,NA,NA
2021-01-03 12:00:00,34.98,NA,11.37,3.63,15.00,42.78,NA,NA,NA,0.82,NA,NA,0.10,NA,NA,NA,82.63,1.90,307.14,NA,NA,292.35,NA,NA
2021-01-03 13:00:00,34.82,NA,11.51,3.54,15.06,43.20,NA,NA,NA,0.68,NA,NA,0.08,NA,NA,NA,83.20,1.74,303.22,NA,NA,273.92,NA,NA
2021-01-03 14:00:00,32.89,NA,11.15,3.86,15.01,42.78,NA,NA,NA,0.70,NA,NA,0.09,NA,NA,NA,82.86,1.98,303.56,NA,NA,314.90,NA,NA
2021-01-03 15:00:00,32.67,NA,11.20,3.94,15.14,42.65,NA,NA,NA,0.66,NA,NA,0.12,NA,NA,NA,81.78,2.27,301.94,NA,NA,304.50,NA,NA
2021-01-03 16:00:00,30.92,NA,10.88,3.52,14.40,42.31,NA,NA,NA,0.66,NA,NA,0.08,NA,NA,NA,83.45,1.97,301.41,NA,NA,262.12,NA,NA
2021-01-03 17:00:00,31.91,NA,11.14,3.78,14.92,42.72,NA,NA,NA,1.05,NA,NA,0.43,NA,NA,NA,85.56,1.47,305.83,NA,NA,241.85,NA,NA
2021-01-03 18:00:00,35.91,NA,12.15,3.78,15.93,44.05,7.93,0.91,NA,1.65,NA,NA,0.42,NA,NA,NA,86.46,1.80,304.23,NA,NA,240.00,NA,NA
2021-01-03 19:00:00,35.33,NA,11.87,4.10,15.98,43.52,7.73,0.93,NA,0.81,NA,NA,0.14,NA,NA,NA,86.75,1.36,315.17,NA,NA,240.00,NA,NA
2021-01-03 20:00:00,32.87,NA,11.59,3.78,15.36,43.31,7.86,0.86,NA,4.64,NA,NA,0.37,NA,NA,NA,82.07,1.55,319.30,NA,NA,240.00,NA,NA
2021-01-03 21:00:00,29.87,NA,10.86,4.14,14.99,42.42,7.81,0.81,NA,1.44,NA,NA,0.19,NA,NA,NA,83.78,1.24,312.39,NA,NA,240.00,NA,NA
2021-01-03 22:00:00,28.76,NA,11.05,4.05,15.10,42.68,7.76,0.83,NA,0.95,NA,NA,0.13,NA,NA,NA,84.53,1.17,311.84,NA,NA,240.00,NA,NA
2021-01-03 23:00:00,28.98,NA,10.92,4.16,15.08,42.60,7.58,0.83,NA,0.71,NA,NA,0.08,NA,NA,NA,83.87,1.25,310.02,NA,NA,239.90,NA,NA
2021-01-04 00:00:00,29.87,NA,10.64,4.08,14.72,42.32,7.51,0.81,NA,0.61,NA,NA,0.05,NA,NA,NA,83.99,1.13,308.15,NA,NA,239.80,NA,NA
2021-01-04 01:00:00,29.58,NA,11.04,4.00,15.04,42.48,7.73,0.86,NA,0.95,NA,NA,0.14,NA,NA,NA,84.41,0.92,306.67,NA,NA,239.88,NA,NA
2021-01-04 02:00:00,29.92,NA,11.34,4.03,15.37,42.98,7.72,0.96,NA,2.41,NA,NA,0.48,NA,NA,NA,84.73,1.05,295.18,NA,NA,239.98,NA,NA
2021-01-04 03:00:00,31.03,NA,11.18,4.12,15.30,42.74,7.75,0.92,NA,2.17,NA,NA,0.32,NA,NA,NA,84.81,1.04,300.00,NA,NA,240.00,NA,NA
2021-01-04 04:00:00,30.93,NA,10.95,4.01,14.96,42.39,7.72,0.90,NA,3.06,NA,NA,0.48,NA,NA,NA,86.21,1.30,286.52,NA,NA,240.00,NA,NA
2021-01-04 05:00:00,29.07,NA,10.92,3.83,14.75,42.33,7.89,1.01,NA,2.25,NA,NA,0.46,NA,NA,NA,89.05,1.30,282.33,NA,NA,240.00,NA,NA
2021-01-04 06:00:00,29.83,NA,11.31,3.99,15.30,42.65,8.76,1.09,NA,5.79,NA,NA,0.53,NA,NA,NA,93.42,0.73,273.98,NA,NA,241.00,NA,NA
2021-01-04 07:00:00,45.85,NA,9.63,3.98,13.61,40.92,8.71,1.08,NA,5.66,NA,NA,0.74,NA,NA,NA,94.87,0.68,259.68,NA,NA,254.82,987.55,NA
2021-01-04 08:00:00,54.60,NA,10.66,3.54,14.20,42.15,8.96,1.09,NA,3.35,NA,NA,0.85,NA,NA,NA,90.10,1.02,266.53,NA,NA,281.38,968.30,NA
2021-01-04 09:00:00,41.82,NA,10.89,3.78,14.67,42.19,9.90,0.90,NA,2.45,NA,NA,0.67,NA,NA,NA,80.02,1.80,295.30,NA,NA,356.98,NA,NA
2021-01-04 10:00:00,28.32,NA,11.17,3.79,14.96,42.65,16.88,0.78,NA,1.15,NA,NA,0.27,NA,NA,NA,74.43,2.07,296.68,NA,NA,350.22,NA,NA
2021-01-04 11:00:00,29.82,NA,11.45,3.95,15.40,42.99,10.01,0.79,NA,1.00,NA,NA,0.24,NA,NA,NA,76.73,1.71,304.10,NA,NA,298.27,NA,NA
2021-01-04 12:00:00,42.67,NA,10.94,3.84,14.78,42.59,8.94,0.80,NA,0.63,NA,NA,0.15,NA,NA,NA,76.88,1.70,304.45,NA,NA,328.12,NA,NA
2021-01-04 13:00:00,37.62,NA,11.35,3.74,15.10,42.84,8.75,0.79,NA,0.90,NA,NA,0.17,NA,NA,NA,76.69,1.82,308.32,NA,NA,339.08,NA,NA
2021-01-04 14:00:00,27.04,NA,11.25,3.96,15.21,42.78,8.56,0.82,NA,1.08,NA,NA,0.13,NA,NA,NA,76.94,1.93,305.71,NA,NA,324.60,NA,NA
