Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,11.53,21.60,12.14,14.21,26.36,18.29,9.48,0.73,36.45,0.00,0.00,NA,NA,NA,NA,NA,92.04,1.65,35.56,NA,NA,0.91,NA,-0.47
2022-01-01 01:00:00,11.53,21.60,12.61,14.54,27.15,18.27,9.28,0.84,32.59,0.00,0.00,NA,NA,NA,NA,NA,91.71,1.73,33.30,NA,NA,0.68,NA,-0.47
2022-01-01 02:00:00,11.53,21.60,13.62,14.39,28.02,18.46,9.43,0.83,37.02,0.00,0.00,NA,NA,NA,NA,NA,91.38,1.68,39.48,NA,NA,1.37,NA,-0.46
2022-01-01 03:00:00,11.53,21.60,12.59,14.44,27.04,18.21,9.19,0.63,40.00,0.00,0.00,NA,NA,NA,NA,NA,90.02,1.66,37.58,NA,NA,2.70,NA,-0.46
2022-01-01 04:00:00,11.53,21.60,12.90,14.16,27.06,18.38,9.23,0.64,42.72,0.00,0.00,NA,NA,NA,NA,NA,90.06,1.56,37.68,NA,NA,2.14,NA,-0.46
2022-01-01 05:00:00,11.53,21.60,12.81,14.44,27.25,18.39,9.39,0.72,41.94,0.00,0.00,NA,NA,NA,NA,NA,91.84,1.66,35.55,NA,NA,0.94,NA,-0.47
2022-01-01 06:00:00,11.53,21.60,14.34,14.14,28.48,18.36,9.46,0.70,29.36,0.00,0.00,NA,NA,NA,NA,NA,91.88,1.68,34.78,NA,NA,4.96,NA,-0.46
2022-01-01 07:00:00,11.53,21.60,15.05,14.50,29.55,18.84,9.22,0.99,30.72,0.00,0.00,NA,NA,NA,NA,NA,91.71,1.54,23.26,NA,NA,56.24,NA,-0.46
2022-01-01 08:00:00,11.53,21.60,14.98,14.51,29.48,18.49,9.59,0.92,36.77,0.00,0.00,NA,NA,NA,NA,NA,82.08,1.67,38.80,NA,NA,134.55,NA,-0.46
2022-01-01 09:00:00,11.53,21.60,14.62,14.57,29.18,18.71,9.46,0.77,42.86,0.00,0.00,NA,NA,NA,NA,NA,79.63,1.67,38.41,NA,NA,179.92,NA,-0.45
2022-01-01 10:00:00,11.53,21.60,14.10,14.81,28.90,18.50,9.44,0.73,43.11,0.00,0.00,NA,NA,NA,NA,NA,79.31,1.72,37.24,NA,NA,313.24,NA,-0.45
2022-01-01 11:00:00,11.53,21.60,13.98,14.69,28.67,18.43,9.36,0.80,45.17,0.00,0.00,NA,NA,NA,NA,NA,79.26,1.64,37.47,NA,NA,315.52,NA,-0.45
2022-01-01 12:00:00,11.53,21.60,16.04,14.69,30.74,18.69,9.31,0.83,47.49,0.00,0.00,NA,NA,NA,NA,NA,86.44,1.58,31.00,NA,NA,322.03,NA,-0.45
2022-01-01 13:00:00,11.53,21.60,16.87,14.13,31.00,18.88,9.46,0.73,41.26,0.00,0.00,NA,NA,NA,NA,NA,84.91,1.64,37.49,NA,NA,300.70,NA,-0.45
2022-01-01 14:00:00,11.53,21.60,14.70,14.22,28.92,18.72,9.46,0.71,40.72,0.00,0.00,NA,NA,NA,NA,NA,78.18,1.69,39.75,NA,NA,185.73,NA,-0.44
2022-01-01 15:00:00,26.52,45.78,15.77,14.36,30.13,18.93,9.44,0.80,37.40,0.00,0.00,NA,NA,NA,NA,NA,77.16,1.69,39.38,NA,NA,130.48,NA,-0.45
2022-01-01 16:00:00,23.11,40.26,19.52,14.45,33.97,19.21,9.44,0.78,35.70,0.00,0.00,NA,NA,NA,NA,NA,78.74,1.71,36.01,NA,NA,73.64,NA,-0.45
2022-01-01 17:00:00,17.23,30.80,20.00,14.54,34.54,19.41,9.37,0.78,32.26,0.00,0.00,NA,NA,NA,NA,NA,80.79,1.56,38.98,NA,NA,15.78,NA,-0.46
2022-01-01 18:00:00,28.89,49.59,11.40,14.74,26.14,18.18,9.44,0.88,32.21,0.00,0.00,NA,NA,NA,NA,NA,82.39,1.68,37.20,NA,NA,NA,NA,-0.46
2022-01-01 19:00:00,29.57,50.70,11.76,14.87,26.62,18.22,9.38,0.83,30.90,0.00,0.00,NA,NA,NA,NA,NA,83.34,1.65,37.27,NA,NA,0.13,NA,-0.46
2022-01-01 20:00:00,26.72,46.09,11.65,14.59,26.24,17.97,9.57,0.88,32.71,0.00,0.00,NA,NA,NA,NA,NA,82.84,1.67,38.15,NA,NA,0.24,NA,-0.47
2022-01-01 21:00:00,25.63,44.34,12.81,14.14,26.96,18.00,9.38,0.70,30.98,0.00,0.00,NA,NA,NA,NA,NA,83.96,1.65,38.87,NA,NA,0.16,NA,-0.46
2022-01-01 22:00:00,31.71,54.14,10.89,14.68,25.57,18.12,9.39,0.72,31.88,0.00,0.00,NA,NA,NA,NA,NA,84.52,1.77,35.65,NA,NA,0.04,NA,-0.47
2022-01-01 23:00:00,29.30,50.26,11.23,14.42,25.66,17.88,9.22,0.75,31.01,0.00,0.00,NA,NA,NA,NA,NA,86.10,1.76,38.28,NA,NA,0.10,NA,-0.47
2022-01-02 00:00:00,37.72,63.84,12.74,14.43,27.17,17.82,9.32,0.76,31.51,0.00,0.00,NA,NA,NA,NA,NA,87.00,1.69,35.12,NA,NA,0.45,NA,-0.47
2022-01-02 01:00:00,33.43,56.92,14.41,14.17,28.58,18.72,9.17,0.84,31.41,0.00,0.00,NA,NA,NA,NA,NA,88.17,1.77,33.63,NA,NA,0.06,NA,-0.47
2022-01-02 02:00:00,26.29,45.40,14.10,14.21,28.31,18.67,9.44,0.80,27.05,0.00,0.00,NA,NA,NA,NA,NA,88.98,1.77,30.70,NA,NA,0.22,NA,-0.48
