Datetime,AQI
2021-01-02,54.0
2021-01-03,51.0
2021-01-04,54.0
2021-01-05,65.0
2021-01-06,54.0
2021-01-07,62.0
2021-01-08,57.0
2021-01-09,135.0
2021-01-10,134.0
2021-01-11,116.0
2021-01-12,64.0
2021-01-13,103.0
2021-01-14,87.0
2021-01-15,85.0
2021-01-16,77.0
2021-01-17,62.0
2021-01-18,58.0
2021-01-19,84.0
2021-01-20,100.0
2021-01-21,94.0
2021-01-22,51.0
2021-01-23,47.0
2021-01-24,51.0
2021-01-25,54.0
2021-01-26,53.0
2021-01-27,64.0
2021-01-28,100.0
2021-01-29,84.0
2021-01-30,63.0
2021-01-31,64.0
2021-02-01,59.0
2021-02-02,68.0
2021-02-03,73.0
2021-02-04,64.0
2021-02-05,74.0
2021-02-06,102.0
2021-02-07,119.0
2021-02-08,140.0
2021-02-09,87.0
2021-02-10,88.0
2021-02-11,87.0
2021-02-12,80.0
2021-02-13,60.0
2021-02-14,54.0
2021-02-15,55.0
2021-02-16,56.0
2021-02-17,73.0
2021-02-18,84.0
2021-02-19,80.0
2021-02-20,55.0
2021-02-21,49.0
2021-02-22,49.0
2021-02-23,56.0
2021-02-24,72.0
2021-02-25,68.0
2021-02-26,63.0
2021-02-27,69.0
2021-02-28,45.0
2021-03-01,41.0
2021-03-02,47.0
2021-03-03,68.0
2021-03-04,68.0
2021-03-05,71.0
2021-03-06,58.0
2021-03-07,98.0
2021-03-08,56.0
2021-03-09,78.0
2021-03-10,53.0
2021-03-11,45.0
2021-03-12,44.0
2021-03-13,74.0
2021-03-14,59.0
2021-03-15,63.0
2021-03-16,49.0
2021-03-17,50.0
2021-03-18,57.0
2021-03-19,80.0
2021-03-20,131.0
2021-03-21,98.0
2021-03-22,76.0
2021-03-23,79.0
2021-03-24,91.0
2021-03-25,129.0
2021-03-26,101.0
2021-03-27,65.0
2021-03-28,146.0
2021-03-29,187.0
2021-03-30,188.0
2021-03-31,174.0
2021-04-01,70.0
2021-04-02,61.0
2021-04-03,65.0
2021-04-04,53.0
2021-04-05,50.0
2021-04-06,47.0
2021-04-07,47.0
2021-04-08,46.0
2021-04-09,43.0
2021-04-10,52.0
2021-04-11,50.0
2021-04-12,47.0
2021-04-13,45.0
2021-04-14,56.0
2021-04-15,47.0
2021-04-16,44.0
2021-04-17,56.0
2021-04-18,42.0
2021-04-19,49.0
2021-04-20,49.0
2021-04-21,50.0
2021-04-22,43.0
2021-04-23,42.0
2021-04-24,45.0
2021-04-25,45.0
2021-04-26,51.0
2021-04-27,51.0
2021-04-28,49.0
2021-04-29,52.0
2021-04-30,44.0
2021-05-01,48.0
2021-05-02,42.0
2021-05-03,41.0
2021-05-04,44.0
2021-05-05,44.0
2021-05-06,48.0
2021-05-07,51.0
2021-05-08,57.0
2021-05-09,54.0
2021-05-10,46.0
2021-05-11,43.0
2021-05-12,46.0
2021-05-13,44.0
2021-05-14,45.0
2021-05-15,46.0
2021-05-16,49.0
2021-05-17,46.0
2021-05-18,47.0
2021-05-19,45.0
2021-05-20,48.0
2021-05-21,48.0
2021-05-22,42.0
2021-05-23,53.0
2021-05-24,62.0
2021-05-25,67.0
2021-05-26,60.0
2021-05-27,74.0
2021-05-28,76.0
2021-05-29,77.0
2021-05-30,67.0
2021-05-31,78.0
2021-06-01,81.0
2021-06-02,81.0
2021-06-03,68.0
2021-06-04,62.0
2021-06-05,62.0
2021-06-06,63.0
2021-06-07,65.0
2021-06-08,65.0
2021-06-09,68.0
2021-06-10,66.0
2021-06-11,62.0
2021-06-12,58.0
2021-06-13,46.0
2021-06-14,60.0
2021-06-15,66.0
2021-06-16,55.0
2021-06-17,63.0
2021-06-18,70.0
2021-06-19,74.0
2021-06-20,79.0
2021-06-21,79.0
2021-06-22,70.0
2021-06-23,81.0
2021-06-24,69.0
2021-06-25,68.0
2021-06-26,76.0
2021-06-27,59.0
2021-06-28,57.0
2021-06-29,66.0
2021-06-30,73.0
2021-07-01,71.0
2021-07-02,62.0
2021-07-03,48.0
2021-07-04,55.0
2021-07-05,62.0
2021-07-06,54.0
2021-07-07,53.0
2021-07-08,55.0
2021-07-09,50.0
2021-07-10,48.0
2021-07-11,44.0
2021-07-12,40.0
2021-07-13,52.0
2021-07-14,59.0
2021-07-15,55.0
2021-07-16,48.0
2021-07-17,50.0
2021-07-18,50.0
2021-07-19,47.0
2021-07-20,46.0
2021-07-21,50.0
2021-07-22,49.0
2021-07-23,47.0
2021-07-24,45.0
2021-07-25,45.0
2021-07-26,43.0
2021-07-27,52.0
2021-07-28,54.0
2021-07-29,52.0
2021-07-30,49.0
2021-07-31,54.0
2021-08-01,50.0
2021-08-02,46.0
2021-08-03,48.0
2021-08-04,46.0
2021-08-05,47.0
2021-08-06,47.0
2021-08-07,49.0
2021-08-08,51.0
2021-08-09,92.0
2021-08-10,62.0
2021-08-11,55.0
2021-08-12,50.0
2021-08-13,49.0
2021-08-14,52.0
2021-08-15,52.0
2021-08-16,55.0
2021-08-17,57.0
2021-08-18,54.0
2021-08-19,53.0
2021-08-20,49.0
2021-08-21,47.0
