,train_end,test_end,p,d,q,P,D,Q,s,MSE,MAE,MAPE,Rolling?,AIC,BIC
0,2023-11-20,2023-12-02,1,0,1,1,0,1,7,263,13,0.0959101764600367,True,11261,11285
0,2023-11-20,2023-12-02,1,0,1,1,0,1,30,150,10,0.07132779395003996,True,11308,11333
0,2023-11-20,2023-12-02,3,0,1,3,0,1,7,1012,25,0.1975133945220975,False,11083,11127
0,2023-11-25,2023-12-02,1,0,0,1,1,0,7,836,26,0.19804144061083892,False,11424,11439
0,2023-11-25,2023-12-02,1,0,1,1,1,0,7,838,26,0.19830903281354345,False,11425,11445
0,2023-11-25,2023-12-02,1,0,1,1,1,1,7,1532,35,0.2793598524212302,False,11126,11150
0,2023-11-25,2023-12-02,1,0,1,1,0,1,7,1182,30,0.23858454267630266,False,11200,11225
0,2023-11-25,2023-12-02,3,0,1,3,0,1,7,1082,27,0.22439358745165824,False,11131,11175
0,2023-11-25,2023-12-02,1,0,1,1,0,1,30,576,22,0.15349015599930857,False,11248,11273
0,2023-11-25,2023-12-02,1,0,1,1,0,1,120,583,22,0.16153369489555747,False,11246,11271
0,2023-11-25,2023-12-02,1,0,1,1,1,1,120,1216,28,0.18519603416723066,False,10222,10247
0,2023-11-25,2023-12-02,1,0,1,1,1,1,30,624,24,0.18210612674144633,False,10993,11018
